================================================================================
HMM 状態別デコード分析  k=9
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
  aii                 0.0%      0%      0%      0%
  aiichy              0.0%      0%      0%      0%
  aiicthy             0.0%      0%      0%      0%
  aiidal              0.0%      0%      0%      0%
  aiidy               0.0%      0%      0%      0%
  aiiikhedy           0.0%      0%      0%      0%
  aiiiky              0.0%      0%      0%      0%
  aiiin               0.0%      0%      0%      0%
  aiiinro             0.0%      0%      0%      0%
  aiikam              0.0%      0%      0%      0%
  aiil                0.0%      0%      0%      0%

────────────────────────────────────────────────────────────────────────────────
  State 1: S1
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ch                 50.0%    100%    N/A      0%
  chcs               50.0%    100%     50%      0%
  chct               50.0%    100%     50%      0%
  co                 50.0%    100%    N/A      0%
  cs                 50.0%    100%    N/A      0%
  cy                 50.0%    100%    N/A      0%
  sh                 50.0%    100%    N/A      0%
  chchsty            42.9%    100%     40%      0%
  chckshy            42.9%    100%     40%      0%
  chchs              40.0%    100%     33%      0%
  chchy              40.0%    100%     33%      0%
  chckh              40.0%    100%     33%      0%
  chcky              40.0%    100%     33%      0%
  chcpy              40.0%    100%     33%      0%
  chcta              40.0%    100%     33%      0%
  chcth              40.0%    100%     33%      0%
  chcty              40.0%    100%     33%      0%
  chshd              40.0%    100%     33%      0%
  chsho              40.0%    100%     33%      0%
  chshy              40.0%    100%     33%      0%
  chsky              40.0%    100%     33%      0%
  ckcho              40.0%    100%     33%      0%
  ckshy              40.0%    100%     33%      0%
  cpchy              40.0%    100%     33%      0%
  ctchy              40.0%    100%     33%      0%
  kccky              40.0%      0%     67%      0%
  shchs              40.0%    100%     33%      0%
  shchy              40.0%    100%     33%      0%
  shcty              40.0%    100%     33%      0%
  shshy              40.0%    100%     33%      0%

────────────────────────────────────────────────────────────────────────────────
  State 2: S2
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  co                 50.0%      0%    N/A    100%
  cs                 50.0%      0%    N/A    100%
  cy                 50.0%      0%    N/A    100%
  dd                 50.0%      0%    N/A    100%
  dg                 50.0%      0%    N/A    100%
  dl                 50.0%      0%    N/A    100%
  dm                 50.0%      0%    N/A    100%
  do                 50.0%      0%    N/A    100%
  dr                 50.0%      0%    N/A    100%
  ds                 50.0%      0%    N/A    100%
  dy                 50.0%      0%    N/A    100%
  el                 50.0%      0%    N/A    100%
  em                 50.0%      0%    N/A    100%
  eo                 50.0%      0%    N/A    100%
  es                 50.0%      0%    N/A    100%
  ey                 50.0%      0%    N/A    100%
  fo                 50.0%      0%    N/A    100%
  fydy               50.0%      0%     50%    100%
  hs                 50.0%      0%    N/A    100%
  hy                 50.0%      0%    N/A    100%
  kl                 50.0%      0%    N/A    100%
  ko                 50.0%      0%    N/A    100%
  ky                 50.0%      0%    N/A    100%
  kyty               50.0%      0%     50%    100%
  ld                 50.0%      0%    N/A    100%
  lg                 50.0%      0%    N/A    100%
  lm                 50.0%      0%    N/A    100%
  lo                 50.0%      0%    N/A    100%
  lr                 50.0%      0%    N/A    100%
  ls                 50.0%      0%    N/A    100%

────────────────────────────────────────────────────────────────────────────────
  State 3: S3
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  cth                66.7%      0%    100%    100%
  shckhh             66.7%      0%     75%    100%
  chckhhhy           62.5%      0%     83%      0%
  ckhcfhhy           62.5%      0%     83%      0%
  chckh              60.0%      0%     67%    100%
  chcth              60.0%      0%     67%    100%
  ckhhy              60.0%      0%    100%      0%
  cphhy              60.0%      0%    100%      0%
  cthhy              60.0%      0%    100%      0%
  ithhy              60.0%      0%    100%      0%
  ockhh              60.0%      0%     67%    100%
  shkhy              60.0%      0%    100%      0%
